Median Income,State,Year
49918,arkansas,2006
46788,mississippi,2006
75999,alaska,2006
75027,colorado,2006
76943,virginia,2006
61830,ohio,2006
63435,oregon,2006
46213,idaho,2006
65563,illinois,2006
64930,united states,2006
60051,missouri,2006
61361,kansas,2006
83477,new hampshire,2006
45642,maine,2006
61193,south dakota,2006
65302,pennsylvania,2006
64958,new york,2006
73587,utah,2006
64829,iowa,2006
61166,indiana,2006
91680,new jersey,2006
81457,hawaii,2006
52317,oklahoma,2006
85765,maryland,2006
75720,minnesota,2006
53920,new mexico,2006
70637,delaware,2006
55293,north dakota,2006
64854,nebraska,2006
53609,north carolina,2006
36488,louisiana,2006
63367,wyoming,2006
66469,georgia,2006
41105,montana,2006
52282,nevada,2006
74518,california,2006
74533,massachusetts,2006
37952,alabama,2006
62850,arizona,2006
54723,washington,2006
84062,connecticut,2006
72386,rhode island,2006
40693,tennessee,2006
51753,west virginia,2006
58337,texas,2006
53367,south carolina,2006
53189,kentucky,2006
70022,vermont,2006
69632,wisconsin,2006
61528,florida,2006
65531,michigan,2006
