Median Income,State,Year
51461,arkansas,2014
40692,mississippi,2014
77473,alaska,2014
69811,colorado,2014
75785,virginia,2014
56870,ohio,2014
67445,oregon,2014
53438,idaho,2014
62910,illinois,2014
61468,united states,2014
64873,missouri,2014
61224,kansas,2014
84081,new hampshire,2014
51710,maine,2014
60776,south dakota,2014
63204,pennsylvania,2014
62216,new york,2014
72609,utah,2014
66225,iowa,2014
55056,indiana,2014
74740,new jersey,2014
81591,hawaii,2014
54069,oklahoma,2014
87252,maryland,2014
77032,minnesota,2014
53482,new mexico,2014
65895,delaware,2014
69570,north dakota,2014
65148,nebraska,2014
53594,north carolina,2014
42406,louisiana,2014
63796,wyoming,2014
56768,georgia,2014
51102,montana,2014
49875,nevada,2014
69292,california,2014
72344,massachusetts,2014
42278,alabama,2014
56424,arizona,2014
59068,washington,2014
80374,connecticut,2014
67168,rhode island,2014
43716,tennessee,2014
45309,west virginia,2014
61717,texas,2014
51469,south carolina,2014
49014,kentucky,2014
69545,vermont,2014
66534,wisconsin,2014
52856,florida,2014
59575,michigan,2014
