Median Income,State,Year
54988,arkansas,2017
47837,mississippi,2017
86196,alaska,2017
82877,colorado,2017
78265,virginia,2017
67076,ohio,2017
69077,oregon,2017
59497,idaho,2017
72913,illinois,2017
67571,united states,2017
62481,missouri,2017
62889,kansas,2017
83591,new hampshire,2017
53316,maine,2017
62905,south dakota,2017
67736,pennsylvania,2017
68021,new york,2017
77135,utah,2017
70148,iowa,2017
64953,indiana,2017
78739,new jersey,2017
81346,hawaii,2017
57343,oklahoma,2017
90734,maryland,2017
77341,minnesota,2017
50401,new mexico,2017
71799,delaware,2017
66500,north dakota,2017
65855,nebraska,2017
54762,north carolina,2017
43565,louisiana,2017
65803,wyoming,2017
64089,georgia,2017
57407,montana,2017
58041,nevada,2017
77410,california,2017
84269,massachusetts,2017
50865,alabama,2017
65984,arizona,2017
71540,washington,2017
82125,connecticut,2017
72285,rhode island,2017
55306,tennessee,2017
51900,west virginia,2017
66417,texas,2017
60278,south carolina,2017
54901,kentucky,2017
70385,vermont,2017
70164,wisconsin,2017
58674,florida,2017
62342,michigan,2017
