Median Income,State,Year
50981,arkansas,2005
45720,mississippi,2005
77729,alaska,2005
70161,colorado,2005
72198,virginia,2005
61474,ohio,2005
61413,oregon,2005
44176,idaho,2005
67308,illinois,2005
64427,united states,2005
59782,missouri,2005
58448,kansas,2005
79249,new hampshire,2005
43923,maine,2005
60011,south dakota,2005
64391,pennsylvania,2005
65609,new york,2005
76230,utah,2005
64669,iowa,2005
59018,indiana,2005
88128,new jersey,2005
82868,hawaii,2005
52354,oklahoma,2005
84156,maryland,2005
75398,minnesota,2005
54165,new mexico,2005
71254,delaware,2005
58678,north dakota,2005
66648,nebraska,2005
58488,north carolina,2005
37236,louisiana,2005
62191,wyoming,2005
63871,georgia,2005
37313,montana,2005
48209,nevada,2005
71977,california,2005
77904,massachusetts,2005
37150,alabama,2005
62924,arizona,2005
50646,washington,2005
79042,connecticut,2005
68819,rhode island,2005
39406,tennessee,2005
50685,west virginia,2005
57607,texas,2005
55949,south carolina,2005
51038,kentucky,2005
70515,vermont,2005
62096,wisconsin,2005
59787,florida,2005
63880,michigan,2005
