Year,GDP,State
2016,688360000000.0,Pennsylvania
2016,89150000000.0,New Mexico
2016,452330000000.0,Michigan
2016,52900000000.0,Rhode Island
2016,140080000000.0,Nevada
2016,46080000000.0,South Dakota
2016,749330000000.0,Illinois
2016,881540000000.0,Florida
2016,194280000000.0,Alabama
2016,112610000000.0,Nebraska
2016,77300000000.0,Hawaii
2016,319600000000.0,Indiana
2016,506820000000.0,Georgia
2016,170390000000.0,Iowa
2016,318950000000.0,Colorado
2016,44440000000.0,Montana
2016,583950000000.0,Ohio
2016,360080000000.0,Maryland
2016,73570000000.0,New Hampshire
2016,147960000000.0,Utah
2016,52970000000.0,North Dakota
2016,482970000000.0,North Carolina
2016,291920000000.0,Wisconsin
2016,153700000000.0,Kansas
2016,535059999999.99994,New Jersey
2016,198080000000.0,Oregon
2016,2427890000000.0,California
2016,279110000000.0,Missouri
2016,29410000000.0,Vermont
2016,475350000000.0,Massachusetts
2016,70010000000.0,West Virginia
2016,1619950000000.0,Texas
2016,184120000000.0,Kentucky
2016,54250000000.0,Alaska
2016,55570000000.0,Maine
2016,291280000000.0,Arizona
2016,1403230000000.0,New York
2016,324030000000.0,Minnesota
2016,38190000000.0,Wyoming
2016,310140000000.0,Tennessee
2016,65480000000.00001,Idaho
2016,101260000000.0,Mississippi
2016,228430000000.0,Louisiana
2016,63000000000.0,Delaware
2016,193030000000.0,Oklahoma
2016,458260000000.0,Washington
2016,112800000000.0,Arkansas
2016,243290000000.0,Connecticut
2016,198010000000.0,South Carolina
