Year,GDP,State
2015,682470000000.0,Pennsylvania
2015,89700000000.0,New Mexico
2015,443830000000.0,Michigan
2015,52820000000.0,Rhode Island
2015,136350000000.0,Nevada
2015,45660000000.0,South Dakota
2015,751750000000.0,Illinois
2015,852240000000.0,Florida
2015,191340000000.0,Alabama
2015,111400000000.0,Nebraska
2015,75870000000.0,Hawaii
2015,313750000000.0,Indiana
2015,489180000000.0,Georgia
2015,171130000000.0,Iowa
2015,312410000000.0,Colorado
2015,45400000000.0,Montana
2015,578850000000.0,Ohio
2015,348150000000.0,Maryland
2015,72040000000.0,New Hampshire
2015,141720000000.0,Utah
2015,56540000000.0,North Dakota
2015,475100000000.0,North Carolina
2015,289080000000.0,Wisconsin
2015,148810000000.0,Kansas
2015,529950000000.00006,New Jersey
2015,189950000000.0,Oregon
2015,2357450000000.0,California
2015,279020000000.0,Missouri
2015,29120000000.0,Vermont
2015,468060000000.0,Massachusetts
2015,70660000000.0,West Virginia
2015,1605900000000.0,Texas
2015,182920000000.0,Kentucky
2015,54740000000.0,Alaska
2015,54430000000.0,Maine
2015,282580000000.0,Arizona
2015,1373640000000.0,New York
2015,318910000000.0,Minnesota
2015,40420000000.0,Wyoming
2015,304480000000.0,Tennessee
2015,63080000000.0,Idaho
2015,100480000000.0,Mississippi
2015,233020000000.0,Louisiana
2015,66790000000.00001,Delaware
2015,197070000000.0,Oklahoma
2015,441950000000.0,Washington
2015,112350000000.0,Arkansas
2015,242710000000.0,Connecticut
2015,192020000000.0,South Carolina
