Year,GDP,State
2003,568240000000.0,Pennsylvania
2003,76770000000.0,New Mexico
2003,443650000000.0,Michigan
2003,48570000000.0,Rhode Island
2003,115280000000.0,Nevada
2003,32979999999.999996,South Dakota
2003,658320000000.0,Illinois
2003,722370000000.0,Florida
2003,165130000000.0,Alabama
2003,83770000000.0,Nebraska
2003,59980000000.0,Hawaii
2003,277150000000.0,Indiana
2003,411690000000.0,Georgia
2003,128960000000.00002,Iowa
2003,237780000000.0,Colorado
2003,33810000000.000004,Montana
2003,519940000000.00006,Ohio
2003,278330000000.0,Maryland
2003,61890000000.0,New Hampshire
2003,97020000000.0,Utah
2003,27870000000.0,North Dakota
2003,373990000000.0,North Carolina
2003,247770000000.0,Wisconsin
2003,118190000000.0,Kansas
2003,494700000000.0,New Jersey
2003,144800000000.0,Oregon
2003,1790000000000.0,California
2003,252680000000.0,Missouri
2003,25460000000.0,Vermont
2003,369010000000.0,Massachusetts
2003,63150000000.0,West Virginia
2003,1050609999999.9999,Texas
2003,159990000000.0,Kentucky
2003,42360000000.0,Alaska
2003,52210000000.0,Maine
2003,234070000000.0,Arizona
2003,1110610000000.0,New York
2003,264170000000.00003,Minnesota
2003,30670000000.0,Wyoming
2003,248990000000.0,Tennessee
2003,48590000000.0,Idaho
2003,92350000000.0,Mississippi
2003,221770000000.0,Louisiana
2003,57300000000.0,Delaware
2003,133419999999.99998,Oklahoma
2003,312560000000.0,Washington
2003,96940000000.0,Arkansas
2003,219190000000.0,Connecticut
2003,161270000000.0,South Carolina
