Year,GDP,State
2012,647930000000.0,Pennsylvania
2012,87930000000.0,New Mexico
2012,422690000000.0,Michigan
2012,51580000000.0,Rhode Island
2012,129310000000.0,Nevada
2012,43900000000.0,South Dakota
2012,726400000000.0,Illinois
2012,778550000000.0,Florida
2012,189250000000.0,Alabama
2012,102730000000.0,Nebraska
2012,71910000000.0,Hawaii
2012,300510000000.0,Indiana
2012,447760000000.0,Georgia
2012,158540000000.0,Iowa
2012,276820000000.0,Colorado
2012,42340000000.0,Montana
2012,545740000000.0,Ohio
2012,332520000000.0,Maryland
2012,68500000000.0,New Hampshire
2012,129509999999.99998,Utah
2012,51830000000.0,North Dakota
2012,445100000000.0,North Carolina
2012,277110000000.0,Wisconsin
2012,141820000000.0,Kansas
2012,517200000000.00006,New Jersey
2012,174610000000.0,Oregon
2012,2113100000000.0,California
2012,271540000000.00003,Missouri
2012,29240000000.0,Vermont
2012,442920000000.0,Massachusetts
2012,70320000000.0,West Virginia
2012,1421180000000.0,Texas
2012,178140000000.0,Kentucky
2012,58280000000.0,Alaska
2012,53680000000.0,Maine
2012,271440000000.0,Arizona
2012,1328230000000.0,New York
2012,298330000000.0,Minnesota
2012,38860000000.0,Wyoming
2012,286340000000.0,Tennessee
2012,58320000000.0,Idaho
2012,100450000000.0,Mississippi
2012,235380000000.0,Louisiana
2012,62350000000.0,Delaware
2012,174870000000.0,Oklahoma
2012,400530000000.0,Washington
2012,108490000000.0,Arkansas
2012,240910000000.0,Connecticut
2012,177620000000.0,South Carolina
