Year,GDP,State
2000,538789999999.99994,Pennsylvania
2000,71650000000.0,New Mexico
2000,438460000000.0,Michigan
2000,45180000000.0,Rhode Island
2000,105640000000.0,Nevada
2000,29390000000.0,South Dakota
2000,640720000000.0,Illinois
2000,642710000000.0,Florida
2000,157220000000.0,Alabama
2000,76370000000.0,Nebraska
2000,55890000000.0,Hawaii
2000,264120000000.0,Indiana
2000,389730000000.0,Georgia
2000,121920000000.0,Iowa
2000,231590000000.0,Colorado
2000,31240000000.0,Montana
2000,509950000000.0,Ohio
2000,250770000000.0,Maryland
2000,56780000000.0,New Hampshire
2000,92500000000.0,Utah
2000,24710000000.0,North Dakota
2000,356910000000.0,North Carolina
2000,232410000000.0,Wisconsin
2000,114030000000.0,Kansas
2000,471430000000.0,New Jersey
2000,137400000000.0,Oregon
2000,1696170000000.0,California
2000,244710000000.0,Missouri
2000,23020000000.0,Vermont
2000,358120000000.0,Massachusetts
2000,61670000000.0,West Virginia
2000,995660000000.0,Texas
2000,151500000000.0,Kentucky
2000,39410000000.0,Alaska
2000,48490000000.0,Maine
2000,208440000000.0,Arizona
2000,1092190000000.0,New York
2000,247800000000.0,Minnesota
2000,27440000000.0,Wyoming
2000,233730000000.0,Tennessee
2000,47300000000.0,Idaho
2000,88080000000.0,Mississippi
2000,205720000000.0,Louisiana
2000,56550000000.0,Delaware
2000,124230000000.0,Oklahoma
2000,311210000000.0,Washington
2000,89870000000.0,Arkansas
2000,216160000000.0,Connecticut
2000,150160000000.0,South Carolina
