,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,29.0,1.56,29.9,1945.2
1,Alaska,45.0,1.02,3.3,326.2
2,Arizona,12.0,2.47,63.2,2621.4
3,Arkansas,18.0,2.01,23.6,1196.6
4,California,10.0,2.81,430.2,15757.4
5,Colorado,2.0,3.87,93.1,2498.2
6,Connecticut,43.0,1.08,17.7,1655.5
7,Delaware,13.0,2.43,10.3,433.6
8,Florida,5.0,3.6,278.4,8016.3
9,Georgia,6.0,3.52,142.3,4187.6
10,Hawaii,30.0,1.52,9.5,634.4
11,Idaho,15.0,2.34,14.9,652.2
12,Illinois,36.0,1.42,81.5,5817.7
13,Indiana,19.0,1.97,57.4,2968.4
14,Iowa,37.0,1.35,20.4,1532.9
15,Kansas,38.0,1.23,16.8,1387.8
16,Kentucky,21.0,1.9,34.4,1844.9
17,Louisiana,31.0,1.51,29.6,1991.1
18,Maine,49.0,0.64,3.7,585.4
19,Maryland,32.0,1.51,38.6,2599.7
20,Massachusetts,25.0,1.7,56.8,3388.7
21,Michigan,35.0,1.44,59.1,4162.6
22,Minnesota,27.0,1.61,44.2,2786.7
23,Mississippi,42.0,1.1,12.2,1122.9
24,Missouri,17.0,2.06,55.4,2750.4
25,Montana,23.0,1.77,7.8,448.9
26,Nebraska,44.0,1.05,10.2,985.9
27,Nevada,1.0,3.89,46.2,1232.9
28,New Hampshire,46.0,1.01,6.4,639.4
29,New Jersey,41.0,1.12,43.2,3902.3
30,New Mexico,28.0,1.58,12.8,820.4
31,New York,20.0,1.91,170.3,9090.2
32,North Carolina,9.0,3.09,124.7,4166.6
33,North Dakota,16.0,2.27,10.1,455.9
34,Ohio,24.0,1.77,91.9,5295.5
35,Oklahoma,22.0,1.8,29.4,1662.9
36,Oregon,4.0,3.62,61.1,1747.5
37,Pennsylvania,40.0,1.18,66.8,5736.4
38,Rhode Island,48.0,0.9,4.2,472.4
39,South Carolina,8.0,3.22,61.1,1960.0
40,South Dakota,39.0,1.19,4.9,416.7
41,Tennessee,14.0,2.43,67.3,2835.5
42,Texas,7.0,3.35,381.3,11754.1
43,Utah,3.0,3.8,49.4,1350.0
44,Vermont,47.0,0.91,2.8,311.7
45,Virginia,33.0,1.51,55.9,3766.7
46,Washington,11.0,2.71,81.2,3073.6
47,West Virginia,50.0,0.48,3.4,711.4
48,Wisconsin,26.0,1.69,46.8,2824.1
49,Wyoming,34.0,1.46,4.2,291.8
50,United States,,2.28,3112.0,139323.0
