,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,26.0,-0.37,-7.1,1891.2
1,Alaska,3.0,1.45,4.1,287.5
2,Arizona,8.0,1.08,24.5,2294.9
3,Arkansas,29.0,-0.45,-5.2,1138.4
4,California,22.0,-0.32,-46.1,14548.9
5,Colorado,46.0,-1.55,-33.7,2138.5
6,Connecticut,47.0,-1.58,-26.3,1638.2
7,Delaware,35.0,-0.78,-3.2,405.5
8,Florida,7.0,1.13,81.1,7273.2
9,Georgia,36.0,-0.79,-30.7,3856.8
10,Hawaii,2.0,2.47,13.7,568.3
11,Idaho,4.0,1.37,7.6,561.9
12,Illinois,43.0,-1.3,-75.4,5744.4
13,Indiana,15.0,0.15,4.3,2875.2
14,Iowa,32.0,-0.64,-9.2,1420.6
15,Kansas,48.0,-1.77,-23.6,1308.4
16,Kentucky,27.0,-0.38,-6.7,1757.7
17,Louisiana,13.0,0.45,8.5,1901.7
18,Maine,20.0,-0.17,-1.0,587.9
19,Maryland,25.0,-0.35,-8.6,2456.9
20,Massachusetts,50.0,-2.21,-71.7,3175.8
21,Michigan,45.0,-1.51,-66.8,4371.7
22,Minnesota,19.0,-0.16,-4.1,2611.3
23,Mississippi,33.0,-0.72,-8.1,1113.5
24,Missouri,38.0,-0.92,-24.9,2674.0
25,Montana,5.0,1.22,4.7,390.0
26,Nebraska,17.0,0.07,0.6,902.6
27,Nevada,1.0,3.33,34.5,1071.7
28,New Hampshire,39.0,-0.93,-5.7,604.9
29,New Jersey,42.0,-1.24,-49.3,3924.0
30,New Mexico,6.0,1.18,9.0,769.7
31,New York,30.0,-0.47,-39.7,8337.0
32,North Carolina,44.0,-1.33,-50.7,3773.3
33,North Dakota,9.0,1.05,3.4,327.4
34,Ohio,40.0,-1.1,-59.3,5338.5
35,Oklahoma,49.0,-2.15,-32.2,1468.3
36,Oregon,21.0,-0.31,-4.9,1563.6
37,Pennsylvania,37.0,-0.8,-44.8,5570.6
38,Rhode Island,12.0,0.46,2.2,476.7
39,South Carolina,10.0,0.73,13.1,1797.0
40,South Dakota,14.0,0.44,1.6,368.9
41,Tennessee,16.0,0.08,2.1,2648.8
42,Texas,31.0,-0.59,-55.4,9392.3
43,Utah,23.0,-0.32,-3.4,1062.3
44,Vermont,34.0,-0.73,-2.2,298.5
45,Virginia,24.0,-0.32,-11.1,3460.6
46,Washington,11.0,0.6,16.0,2669.2
47,West Virginia,41.0,-1.18,-8.2,686.9
48,Wisconsin,28.0,-0.39,-10.6,2723.5
49,Wyoming,18.0,-0.08,-0.2,240.2
50,United States,,-0.37,-481.0,129474.0
