,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,30.0,1.06,21.1,2020.1
1,Alaska,50.0,-0.79,-2.5,314.7
2,Arizona,4.0,2.92,80.6,2839.5
3,Arkansas,17.0,1.46,18.0,1254.5
4,California,8.0,2.49,413.7,16995.7
5,Colorado,7.0,2.58,67.3,2679.7
6,Connecticut,47.0,0.19,3.2,1674.9
7,Delaware,31.0,1.01,4.5,450.9
8,Florida,10.0,2.17,185.3,8733.4
9,Georgia,12.0,1.92,84.5,4483.4
10,Hawaii,38.0,0.69,4.5,657.9
11,Idaho,2.0,3.49,24.3,719.7
12,Illinois,33.0,0.95,56.6,5986.0
13,Indiana,28.0,1.14,34.8,3090.2
14,Iowa,39.0,0.68,10.6,1558.1
15,Kansas,40.0,0.55,7.7,1403.5
16,Kentucky,42.0,0.5,9.4,1902.2
17,Louisiana,48.0,0.07,1.3,1972.1
18,Maine,18.0,1.4,8.4,609.2
19,Maryland,35.0,0.94,25.1,2704.8
20,Massachusetts,15.0,1.53,54.0,3577.8
21,Michigan,24.0,1.22,52.5,4357.0
22,Minnesota,29.0,1.1,31.7,2912.4
23,Mississippi,49.0,-0.1,-1.2,1146.0
24,Missouri,46.0,0.28,7.9,2851.2
25,Montana,25.0,1.22,5.6,465.4
26,Nebraska,45.0,0.29,2.9,1007.1
27,Nevada,3.0,3.31,43.5,1357.5
28,New Hampshire,23.0,1.22,8.1,669.8
29,New Jersey,27.0,1.15,46.5,4076.4
30,New Mexico,20.0,1.33,10.9,832.9
31,New York,19.0,1.33,125.3,9521.6
32,North Carolina,14.0,1.77,77.2,4435.4
33,North Dakota,41.0,0.54,2.3,426.3
34,Ohio,37.0,0.78,42.2,5469.4
35,Oklahoma,13.0,1.79,29.4,1668.3
36,Oregon,9.0,2.26,41.9,1895.3
37,Pennsylvania,26.0,1.19,69.4,5918.7
38,Rhode Island,36.0,0.82,4.0,489.2
39,South Carolina,5.0,2.9,59.9,2123.9
40,South Dakota,34.0,0.95,4.0,426.9
41,Tennessee,16.0,1.51,44.9,3022.3
42,Texas,11.0,2.1,254.3,12347.7
43,Utah,1.0,3.58,51.6,1492.9
44,Vermont,32.0,0.99,3.1,315.5
45,Virginia,21.0,1.32,51.5,3956.2
46,Washington,6.0,2.74,89.1,3340.1
47,West Virginia,44.0,0.47,3.3,702.1
48,Wisconsin,22.0,1.25,36.3,2928.8
49,Wyoming,43.0,0.47,1.3,276.4
50,United States,,1.55,2244.0,146649.0
