,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,16.0,2.6,50.4,1991.7
1,Alaska,27.0,2.02,6.0,302.3
2,Arizona,1.0,6.3,156.0,2633.3
3,Arkansas,24.0,2.18,25.5,1197.2
4,California,25.0,2.17,322.8,15229.6
5,Colorado,18.0,2.54,55.8,2254.0
6,Connecticut,40.0,1.23,20.3,1668.5
7,Delaware,30.0,1.91,8.1,432.4
8,Florida,6.0,3.69,285.2,8021.1
9,Georgia,14.0,2.98,118.0,4078.3
10,Hawaii,13.0,3.01,18.0,616.1
11,Idaho,5.0,4.74,28.2,622.6
12,Illinois,33.0,1.51,87.1,5845.9
13,Indiana,41.0,1.2,35.1,2962.9
14,Iowa,31.0,1.75,25.6,1484.8
15,Kansas,39.0,1.27,16.9,1347.5
16,Kentucky,29.0,1.94,34.7,1826.0
17,Louisiana,50.0,-4.71,-91.0,1842.0
18,Maine,46.0,0.66,3.9,596.1
19,Maryland,26.0,2.16,54.4,2571.4
20,Massachusetts,38.0,1.28,40.6,3210.2
21,Michigan,49.0,-0.82,-35.8,4305.2
22,Minnesota,17.0,2.55,67.5,2713.4
23,Mississippi,48.0,0.27,3.1,1139.0
24,Missouri,28.0,1.96,53.3,2767.6
25,Montana,10.0,3.22,13.2,423.2
26,Nebraska,36.0,1.29,11.9,934.8
27,Nevada,2.0,6.13,73.2,1268.1
28,New Hampshire,34.0,1.45,9.0,630.8
29,New Jersey,35.0,1.33,53.0,4029.3
30,New Mexico,8.0,3.49,27.9,826.6
31,New York,42.0,1.12,94.4,8497.4
32,North Carolina,21.0,2.41,93.5,3967.6
33,North Dakota,19.0,2.51,8.5,347.2
34,Ohio,45.0,0.66,35.4,5389.5
35,Oklahoma,9.0,3.32,50.1,1559.6
36,Oregon,12.0,3.04,49.6,1680.3
37,Pennsylvania,37.0,1.28,72.2,5701.8
38,Rhode Island,47.0,0.41,2.0,486.2
39,South Carolina,15.0,2.88,53.0,1896.2
40,South Dakota,22.0,2.21,8.4,388.0
41,Tennessee,32.0,1.72,46.8,2768.0
42,Texas,7.0,3.61,348.6,10014.5
43,Utah,4.0,4.94,55.7,1182.5
44,Vermont,44.0,0.85,2.6,307.7
45,Virginia,20.0,2.45,88.3,3699.1
46,Washington,11.0,3.15,87.2,2853.0
47,West Virginia,23.0,2.19,15.4,718.1
48,Wisconsin,43.0,0.97,27.0,2804.8
49,Wyoming,3.0,5.35,13.6,267.9
50,United States,,2.15,2851.0,135209.0
