,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,31.0,-1.63,-31.5,1898.3
1,Alaska,1.0,2.46,6.8,283.4
2,Arizona,14.0,-0.94,-21.6,2270.4
3,Arkansas,17.0,-1.1,-12.7,1143.6
4,California,30.0,-1.56,-231.2,14595.0
5,Colorado,48.0,-2.85,-63.7,2172.2
6,Connecticut,10.0,-0.6,-10.1,1664.5
7,Delaware,46.0,-2.76,-11.6,408.7
8,Florida,8.0,-0.33,-23.9,7192.1
9,Georgia,47.0,-2.8,-111.8,3887.5
10,Hawaii,23.0,-1.26,-7.1,554.6
11,Idaho,24.0,-1.28,-7.2,554.3
12,Illinois,44.0,-2.61,-156.2,5819.8
13,Indiana,40.0,-2.37,-69.8,2870.9
14,Iowa,33.0,-1.74,-25.3,1429.8
15,Kansas,21.0,-1.16,-15.6,1332.0
16,Kentucky,29.0,-1.44,-25.8,1764.4
17,Louisiana,32.0,-1.67,-32.2,1893.2
18,Maine,11.0,-0.62,-3.7,588.9
19,Maryland,4.0,0.46,11.2,2465.5
20,Massachusetts,50.0,-2.93,-97.9,3247.5
21,Michigan,45.0,-2.67,-121.9,4438.5
22,Minnesota,34.0,-1.79,-47.7,2615.4
23,Mississippi,16.0,-0.96,-10.9,1121.6
24,Missouri,25.0,-1.3,-35.6,2698.9
25,Montana,6.0,0.1,0.4,385.3
26,Nebraska,13.0,-0.79,-7.2,902.0
27,Nevada,27.0,-1.37,-14.4,1037.2
28,New Hampshire,36.0,-2.08,-13.0,610.6
29,New Jersey,5.0,0.24,9.4,3973.3
30,New Mexico,3.0,0.75,5.7,760.7
31,New York,43.0,-2.46,-211.3,8376.7
32,North Carolina,38.0,-2.21,-86.5,3824.0
33,North Dakota,12.0,-0.77,-2.5,324.0
34,Ohio,41.0,-2.43,-134.2,5397.8
35,Oklahoma,22.0,-1.25,-19.0,1500.5
36,Oregon,42.0,-2.44,-39.2,1568.5
37,Pennsylvania,19.0,-1.11,-63.1,5615.4
38,Rhode Island,7.0,-0.29,-1.4,474.5
39,South Carolina,39.0,-2.27,-41.4,1783.9
40,South Dakota,18.0,-1.1,-4.1,367.3
41,Tennessee,37.0,-2.14,-57.8,2646.7
42,Texas,28.0,-1.38,-132.0,9447.7
43,Utah,26.0,-1.35,-14.6,1065.7
44,Vermont,15.0,-0.96,-2.9,300.7
45,Virginia,20.0,-1.12,-39.5,3471.7
46,Washington,49.0,-2.87,-78.4,2653.2
47,West Virginia,9.0,-0.42,-2.9,695.1
48,Wisconsin,35.0,-1.91,-53.2,2734.1
49,Wyoming,2.0,1.39,3.3,240.4
50,United States,,-1.5,-1974.0,129955.0
