,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,39.0,-0.06,-1.2,2020.5
1,Alaska,16.0,0.88,2.7,308.4
2,Arizona,45.0,-0.75,-20.1,2672.2
3,Arkansas,37.0,-0.01,-0.1,1206.7
4,California,43.0,-0.29,-45.0,15388.1
5,Colorado,7.0,1.61,37.2,2342.6
6,Connecticut,9.0,1.39,23.4,1703.9
7,Delaware,24.0,0.46,2.0,434.7
8,Florida,50.0,-2.39,-194.1,7931.5
9,Georgia,38.0,-0.01,-0.6,4151.0
10,Hawaii,23.0,0.53,3.3,630.5
11,Idaho,33.0,0.19,1.2,643.3
12,Illinois,36.0,0.04,2.1,5905.0
13,Indiana,44.0,-0.51,-15.2,2955.5
14,Iowa,17.0,0.88,13.2,1509.5
15,Kansas,10.0,1.2,16.5,1391.1
16,Kentucky,42.0,-0.09,-1.6,1838.3
17,Louisiana,12.0,1.15,22.1,1940.1
18,Maine,25.0,0.43,2.6,601.7
19,Maryland,35.0,0.11,2.8,2593.7
20,Massachusetts,13.0,1.11,36.1,3280.8
21,Michigan,49.0,-1.74,-73.6,4161.8
22,Minnesota,29.0,0.26,7.2,2726.8
23,Mississippi,19.0,0.8,9.2,1159.3
24,Missouri,41.0,-0.07,-1.9,2797.0
25,Montana,18.0,0.8,3.5,439.2
26,Nebraska,8.0,1.57,14.9,961.2
27,Nevada,47.0,-1.18,-15.2,1275.6
28,New Hampshire,22.0,0.55,3.5,640.5
29,New Jersey,26.0,0.4,16.3,4042.7
30,New Mexico,21.0,0.59,5.0,846.6
31,New York,14.0,1.06,91.5,8704.7
32,North Carolina,15.0,0.94,38.6,4150.2
33,North Dakota,3.0,2.55,9.0,361.9
34,Ohio,46.0,-0.8,-42.9,5324.9
35,Oklahoma,6.0,1.74,27.6,1618.2
36,Oregon,34.0,0.17,2.9,1723.5
37,Pennsylvania,28.0,0.33,18.8,5761.4
38,Rhode Island,48.0,-1.6,-7.8,480.9
39,South Carolina,30.0,0.24,4.6,1942.9
40,South Dakota,5.0,1.79,7.1,403.4
41,Tennessee,31.0,0.21,5.8,2792.5
42,Texas,2.0,2.65,273.6,10616.3
43,Utah,11.0,1.18,14.6,1253.1
44,Vermont,40.0,-0.06,-0.2,308.3
45,Virginia,27.0,0.35,13.2,3752.3
46,Washington,4.0,1.96,57.4,2984.8
47,West Virginia,20.0,0.63,4.5,720.8
48,Wisconsin,32.0,0.2,5.6,2827.4
49,Wyoming,1.0,3.52,9.9,291.0
50,United States,,0.33,454.0,137361.0
