,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,40.0,0.64,12.2,1930.0
1,Alaska,45.0,0.25,0.8,325.5
2,Arizona,15.0,1.93,48.5,2566.5
3,Arkansas,44.0,0.41,4.8,1182.1
4,California,7.0,2.74,411.2,15410.4
5,Colorado,3.0,3.13,73.5,2421.9
6,Connecticut,42.0,0.48,7.9,1647.1
7,Delaware,14.0,2.0,8.4,428.1
8,Florida,4.0,2.87,217.5,7794.5
9,Georgia,12.0,2.36,94.2,4087.1
10,Hawaii,23.0,1.34,8.3,628.4
11,Idaho,5.0,2.8,17.5,643.1
12,Illinois,33.0,1.01,57.8,5781.8
13,Indiana,27.0,1.17,34.1,2939.6
14,Iowa,22.0,1.39,20.8,1522.5
15,Kansas,17.0,1.65,22.4,1382.1
16,Kentucky,30.0,1.08,19.6,1829.2
17,Louisiana,26.0,1.26,24.6,1973.5
18,Maine,39.0,0.66,3.8,583.7
19,Maryland,47.0,0.22,5.6,2584.4
20,Massachusetts,16.0,1.66,54.9,3353.3
21,Michigan,21.0,1.56,63.4,4119.8
22,Minnesota,36.0,0.9,24.6,2745.1
23,Mississippi,41.0,0.59,6.6,1116.8
24,Missouri,38.0,0.7,18.9,2718.5
25,Montana,34.0,0.93,4.1,442.7
26,Nebraska,19.0,1.63,15.7,981.4
27,Nevada,1.0,3.43,39.7,1198.1
28,New Hampshire,29.0,1.12,7.0,634.7
29,New Jersey,48.0,0.18,6.8,3890.7
30,New Mexico,43.0,0.45,3.6,809.3
31,New York,18.0,1.64,144.4,8972.7
32,North Carolina,20.0,1.62,65.2,4089.6
33,North Dakota,2.0,3.18,13.8,448.3
34,Ohio,24.0,1.29,66.9,5238.9
35,Oklahoma,32.0,1.07,17.4,1643.7
36,Oregon,6.0,2.8,46.2,1698.8
37,Pennsylvania,46.0,0.25,14.0,5716.7
38,Rhode Island,31.0,1.07,5.0,470.3
39,South Carolina,8.0,2.7,50.7,1928.9
40,South Dakota,25.0,1.27,5.2,413.9
41,Tennessee,13.0,2.11,57.8,2794.6
42,Texas,10.0,2.68,299.1,11445.7
43,Utah,9.0,2.7,34.4,1308.8
44,Vermont,37.0,0.72,2.2,309.4
45,Virginia,49.0,-0.11,-4.3,3736.9
46,Washington,11.0,2.45,71.9,3010.5
47,West Virginia,50.0,-0.72,-5.2,717.1
48,Wisconsin,28.0,1.16,32.1,2791.3
49,Wyoming,35.0,0.91,2.6,289.6
50,United States,,1.68,2268.0,137169.0
