State,2001 Rate,Rank ,Labor Force
North Dakota,2.8,1,339000
Missouri,3.1,2,928000
Connecticut,3.3,3,1718000
Iowa,3.3,3,1588000
South Dakota,3.3,3,405000
New Hampshire,3.5,6,689000
Delaware,3.5,6,419000
Virginia,3.5,6,3675000
Vermont,3.6,9,335000
Massachusetts,3.7,10,3284000
Minnesota,3.7,10,2814000
Colorado,3.7,10,2295000
Oklahoma,3.8,13,1665000
Wyoming,3.9,14,271000
Maine,4,15,684000
Georgia,4,15,4132000
Maryland,4.1,17,2837000
New Jersey,4.2,18,4179000
Ohio,4.3,19,5857000
Kansas,4.3,19,1381000
Indiana,4.4,21,3106000
Utah,4.4,21,1115000
Tennessee,4.5,23,2818000
Wisconsin,4.6,24,2991000
Montana,4.6,24,465000
Hawaii,4.6,24,606000
Rhode Island,4.7,27,504000
Pennsylvania,4.7,27,6073000
Nebraska,4.7,27,2970000
Arizona,4.7,27,2420000
Florida,4.8,31,7674000
New Mexico,4.8,31,838000
New York,4.9,33,8832000
West Virginia,4.9,33,833000
Texas,4.9,33,10463000
Idaho,5,36,682000
Arkansas,5.1,37,1227000
Michigan,5.3,38,5175000
Alabama,5.3,38,2148000
Nevada,5.3,38,1023000
California,5.3,38,17362000
Illinois,5.4,42,6349000
South Carolina,5.4,42,1949000
North Carolina,5.5,44,3995000
Kentucky,5.5,44,1968000
Mississippi,5.5,44,1296000
Louisiana,6,47,2050000
Alaska,6.3,48,322000
Oregon,6.3,48,1794000
Washington,6.4,50,2996000
"Washington, D.C.",6.5,51,278000
