State,2008 Rate,Rank ,Labor Force
South Dakota,3,1,445000
Wyoming,3.1,2,293000
North Dakota,3.2,3,370000
Missouri,3.3,4,996000
Utah,3.4,5,1384000
New Hampshire,3.8,6,739000
Oklahoma,3.8,6,1748000
Hawaii,3.9,8,654000
Virginia,4,9,4125000
Iowa,4.1,10,1676000
New Mexico,4.2,11,959000
West Virginia,4.3,12,806000
Kansas,4.4,13,1497000
Maryland,4.4,13,2998000
Montana,4.5,15,506000
Louisiana,4.6,16,2079000
Wisconsin,4.7,17,3084000
Vermont,4.8,18,355000
Delaware,4.8,18,443000
Texas,4.9,20,11702000
Colorado,4.9,20,2730000
Idaho,4.9,20,755000
Alabama,5,23,2162000
Arkansas,5.1,24,3170000
Massachusetts,5.3,25,3424000
Washington,5.3,25,3477000
Maine,5.4,27,707000
New York,5.4,27,9680000
Pennsylvania,5.4,27,6395000
Minnesota,5.4,27,2933000
New Jersey,5.5,31,4497000
Arizona,5.5,31,3133000
Connecticut,5.7,33,1876000
Indiana,5.9,34,3230000
Nebraska,6.1,35,3012000
Florida,6.2,36,9231000
Georgia,6.2,36,4848000
North Carolina,6.3,38,4544000
Kentucky,6.4,39,2043000
Tennessee,6.4,39,3041000
Oregon,6.4,39,1958000
Illinois,6.5,42,6697000
Ohio,6.5,42,5972000
Nevada,6.7,44,1373000
Alaska,6.7,44,357000
South Carolina,6.9,46,2153000
Mississippi,6.9,46,1314000
"Washington, D.C.",7,48,333000
California,7.2,49,18392000
Rhode Island,7.8,50,568000
Michigan,8.4,51,4936000
