State,2011 Rate,Rank,Labor Force
North Dakota,3.5,1,383000
Missouri,4.4,2,1005000
South Dakota,4.7,3,446000
New Hampshire,5.4,4,738000
Vermont,5.6,5,359000
Iowa,5.9,6,1664000
Wyoming,6,7,304000
Virginia,6.2,8,4306000
Oklahoma,6.2,8,1771000
Minnesota,6.4,10,2978000
Kansas,6.7,11,1505000
Utah,6.7,11,1338000
Hawaii,6.7,11,661000
Montana,6.8,14,504000
Maryland,7,15,3072000
Delaware,7.3,16,439000
Louisiana,7.3,16,2061000
Massachusetts,7.4,18,3456000
New Mexico,7.4,18,928000
Maine,7.5,20,704000
Wisconsin,7.5,20,3062000
Alaska,7.6,22,367000
Pennsylvania,7.9,23,6386000
Texas,7.9,23,12452000
West Virginia,8,25,800000
Arkansas,8,25,1370000
New York,8.2,27,9504000
Colorado,8.3,28,2723000
Ohio,8.6,29,5806000
Nebraska,8.6,29,3046000
Idaho,8.7,31,771000
Connecticut,8.8,32,1918000
Indiana,9,33,3188000
Alabama,9,33,2191000
Tennessee,9.2,35,3133000
Washington,9.2,35,3485000
New Jersey,9.3,37,4556000
Kentucky,9.5,38,2068000
Arizona,9.5,38,3034000
Oregon,9.5,38,1992000
Illinois,9.8,41,6566000
Georgia,9.8,41,4725000
"Washington, D.C.",10.2,43,344000
Michigan,10.3,44,4658000
South Carolina,10.3,44,2157000
Florida,10.5,46,9249000
North Carolina,10.5,46,4654000
Mississippi,10.7,48,1344000
Rhode Island,11.3,49,563000
California,11.7,50,18385000
Nevada,13.5,51,1386000
