State,2009 Rate,Rank ,Labor Force
North Dakota,4.3,1,365000
Missouri,4.6,2,984000
South Dakota,4.8,3,446000
Iowa,6,4,1674000
Montana,6.2,5,499000
New Hampshire,6.3,6,742000
Oklahoma,6.4,7,1773000
Wyoming,6.4,7,294000
Utah,6.6,9,1364000
Kansas,6.7,10,1519000
Virginia,6.7,10,4174000
Louisiana,6.8,12,2068000
Hawaii,6.8,12,638000
Vermont,6.9,14,360000
Maryland,7,15,2987000
New Mexico,7.2,16,956000
Arkansas,7.3,17,1370000
Texas,7.6,18,11931000
Colorado,7.7,19,2701000
West Virginia,7.9,20,798000
Maine,8,21,704000
Minnesota,8,21,2968000
Idaho,8,21,750000
Alaska,8,21,361000
Pennsylvania,8.1,25,6414000
Delaware,8.1,25,435000
Connecticut,8.2,27,1890000
Massachusetts,8.4,28,3473000
New York,8.4,28,9699000
Wisconsin,8.5,30,3081000
Washington,8.9,31,3529000
Arizona,9.1,32,3143000
New Jersey,9.2,33,4537000
Nebraska,9.3,34,3037000
Georgia,9.6,35,4769000
Mississippi,9.6,35,1292000
Illinois,10.1,37,6606000
Indiana,10.1,37,3185000
Alabama,10.1,37,2113000
Ohio,10.2,40,5970000
"Washington, D.C.",10.2,40,332000
Florida,10.5,42,9197000
Kentucky,10.5,42,2080000
Tennessee,10.5,42,3020000
North Carolina,10.6,45,4545000
Oregon,11.1,46,1964000
Rhode Island,11.2,47,567000
California,11.4,48,18250000
South Carolina,11.7,49,2179000
Nevada,11.8,50,1370000
Michigan,13.6,51,4889000
