,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,38.0,-5.04,-101.8,1918.7
1,Alaska,1.0,0.16,0.5,308.9
2,Arizona,48.0,-7.01,-187.2,2485.0
3,Arkansas,14.0,-2.79,-33.7,1173.0
4,California,39.0,-5.11,-786.4,14601.7
5,Colorado,23.0,-3.66,-85.8,2256.8
6,Connecticut,27.0,-3.81,-64.9,1639.0
7,Delaware,31.0,-4.49,-19.5,415.2
8,Florida,49.0,-7.01,-556.3,7375.2
9,Georgia,42.0,-5.36,-222.3,3928.7
10,Hawaii,34.0,-4.58,-28.9,601.6
11,Idaho,45.0,-6.16,-39.6,603.7
12,Illinois,29.0,-4.25,-251.2,5653.8
13,Indiana,40.0,-5.34,-157.7,2797.8
14,Iowa,12.0,-2.42,-36.5,1473.0
15,Kansas,11.0,-2.36,-32.8,1358.3
16,Kentucky,37.0,-4.67,-85.9,1752.4
17,Louisiana,3.0,-0.97,-18.9,1921.2
18,Maine,21.0,-3.57,-21.5,580.2
19,Maryland,16.0,-2.94,-76.3,2517.4
20,Massachusetts,18.0,-2.96,-97.0,3183.8
21,Michigan,47.0,-6.9,-287.3,3874.5
22,Minnesota,22.0,-3.58,-97.6,2629.2
23,Mississippi,32.0,-4.53,-52.5,1106.8
24,Missouri,20.0,-3.13,-87.5,2709.5
25,Montana,30.0,-4.44,-19.5,419.7
26,Nebraska,6.0,-1.55,-14.9,946.3
27,Nevada,50.0,-8.82,-112.5,1163.1
28,New Hampshire,15.0,-2.92,-18.7,621.8
29,New Jersey,28.0,-4.17,-168.6,3874.1
30,New Mexico,25.0,-3.69,-31.2,815.4
31,New York,10.0,-2.24,-195.1,8509.6
32,North Carolina,41.0,-5.35,-222.1,3928.1
33,North Dakota,2.0,-0.19,-0.7,361.2
34,Ohio,35.0,-4.63,-246.6,5078.3
35,Oklahoma,9.0,-2.05,-33.1,1585.1
36,Oregon,46.0,-6.26,-107.9,1615.6
37,Pennsylvania,13.0,-2.71,-156.0,5605.4
38,Rhode Island,36.0,-4.66,-22.4,458.5
39,South Carolina,44.0,-5.99,-116.4,1826.5
40,South Dakota,5.0,-1.54,-6.2,397.2
41,Tennessee,43.0,-5.57,-155.5,2637.0
42,Texas,7.0,-1.73,-184.1,10432.2
43,Utah,33.0,-4.56,-57.1,1196.0
44,Vermont,19.0,-3.02,-9.3,299.0
45,Virginia,17.0,-2.95,-110.8,3641.5
46,Washington,26.0,-3.75,-111.9,2872.9
47,West Virginia,4.0,-1.4,-10.1,710.7
48,Wisconsin,24.0,-3.67,-103.9,2723.5
49,Wyoming,8.0,-1.82,-5.3,285.7
50,United States,,-4.15,-5702.0,131659.0
