,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,49.0,1.03,19.8,1945.1
1,Alaska,40.0,1.75,4.7,273.0
2,Arizona,1.0,4.48,96.1,2239.8
3,Arkansas,32.0,2.36,26.7,1157.6
4,California,7.0,3.58,498.5,14421.0
5,Colorado,4.0,3.88,81.4,2180.9
6,Connecticut,46.0,1.38,22.9,1682.1
7,Delaware,22.0,2.77,11.2,415.5
8,Florida,9.0,3.46,235.4,7046.4
9,Georgia,10.0,3.44,131.6,3952.2
10,Hawaii,16.0,3.02,16.1,549.3
11,Idaho,3.0,3.91,20.5,544.4
12,Illinois,41.0,1.71,100.6,5972.2
13,Indiana,36.0,2.07,60.7,2992.8
14,Iowa,45.0,1.38,20.0,1465.5
15,Kansas,48.0,1.08,14.2,1334.9
16,Kentucky,17.0,3.0,52.6,1806.4
17,Louisiana,44.0,1.5,28.4,1918.8
18,Maine,6.0,3.61,20.4,586.1
19,Maryland,13.0,3.1,73.0,2424.5
20,Massachusetts,28.0,2.54,81.1,3272.2
21,Michigan,30.0,2.43,109.8,4623.8
22,Minnesota,20.0,2.85,73.0,2631.5
23,Mississippi,50.0,0.9,10.3,1155.4
24,Missouri,43.0,1.62,43.8,2741.5
25,Montana,18.0,2.91,10.9,385.4
26,Nebraska,24.0,2.72,23.9,903.4
27,Nevada,2.0,4.29,41.4,1007.3
28,New Hampshire,19.0,2.89,17.1,609.7
29,New Jersey,25.0,2.71,104.1,3943.0
30,New Mexico,34.0,2.12,15.3,737.9
31,New York,33.0,2.16,179.4,8499.1
32,North Carolina,39.0,1.89,72.1,3884.6
33,North Dakota,31.0,2.41,7.6,323.3
34,Ohio,38.0,1.9,104.1,5573.4
35,Oklahoma,47.0,1.36,19.9,1485.8
36,Oregon,37.0,1.96,30.7,1593.6
37,Pennsylvania,35.0,2.09,115.5,5637.9
38,Rhode Island,15.0,3.02,13.8,470.2
39,South Carolina,27.0,2.55,46.1,1856.3
40,South Dakota,5.0,3.8,13.6,371.7
41,Tennessee,23.0,2.73,72.7,2734.9
42,Texas,21.0,2.83,258.5,9386.6
43,Utah,26.0,2.7,28.0,1063.2
44,Vermont,11.0,3.34,9.7,300.5
45,Virginia,12.0,3.29,110.4,3469.4
46,Washington,14.0,3.04,80.4,2721.5
47,West Virginia,42.0,1.63,11.2,696.3
48,Wisconsin,29.0,2.45,66.6,2783.6
49,Wyoming,8.0,3.47,7.8,232.4
50,United States,,2.63,3353.0,130752.0
