,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,32.0,1.52,29.6,1974.8
1,Alaska,47.0,-1.26,-4.1,322.1
2,Arizona,11.0,2.74,71.7,2693.1
3,Arkansas,18.0,2.01,24.0,1220.6
4,California,6.0,3.2,504.4,16261.8
5,Colorado,14.0,2.41,60.2,2558.4
6,Connecticut,41.0,0.66,11.0,1666.5
7,Delaware,24.0,1.71,7.4,441.0
8,Florida,1.0,3.7,296.4,8312.7
9,Georgia,10.0,2.8,117.4,4305.0
10,Hawaii,29.0,1.59,10.1,644.5
11,Idaho,4.0,3.54,23.1,675.3
12,Illinois,35.0,1.36,78.9,5896.6
13,Indiana,19.0,1.91,56.6,3025.0
14,Iowa,40.0,0.7,10.8,1543.7
15,Kansas,44.0,0.37,5.1,1392.9
16,Kentucky,25.0,1.68,31.0,1875.9
17,Louisiana,46.0,-0.95,-19.0,1972.1
18,Maine,26.0,1.67,9.8,595.2
19,Maryland,34.0,1.38,35.9,2635.6
20,Massachusetts,13.0,2.43,82.4,3471.1
21,Michigan,20.0,1.84,76.6,4239.2
22,Minnesota,27.0,1.66,46.2,2832.9
23,Mississippi,23.0,1.82,20.4,1143.3
24,Missouri,22.0,1.83,50.3,2800.7
25,Montana,30.0,1.56,7.0,455.9
26,Nebraska,37.0,1.03,10.2,996.1
27,Nevada,7.0,3.11,38.3,1271.2
28,New Hampshire,12.0,2.58,16.5,655.9
29,New Jersey,31.0,1.56,60.7,3963.0
30,New Mexico,42.0,0.41,3.4,823.8
31,New York,21.0,1.84,166.9,9257.1
32,North Carolina,15.0,2.41,100.4,4267.0
33,North Dakota,50.0,-5.86,-26.7,429.2
34,Ohio,33.0,1.39,73.7,5369.2
35,Oklahoma,45.0,-0.65,-10.8,1652.1
36,Oregon,2.0,3.66,64.0,1811.5
37,Pennsylvania,39.0,0.86,49.5,5785.9
38,Rhode Island,17.0,2.05,9.7,482.1
39,South Carolina,9.0,2.81,55.1,2015.1
40,South Dakota,38.0,0.94,3.9,420.6
41,Tennessee,8.0,2.91,82.6,2918.1
42,Texas,36.0,1.35,159.2,11913.3
43,Utah,3.0,3.62,48.9,1398.9
44,Vermont,43.0,0.38,1.2,312.9
45,Virginia,16.0,2.24,84.4,3851.1
46,Washington,5.0,3.2,98.5,3172.1
47,West Virginia,48.0,-1.5,-10.7,700.7
48,Wisconsin,28.0,1.61,45.6,2869.7
49,Wyoming,49.0,-3.22,-9.4,282.4
50,United States,,1.85,2578.0,141901.0
