State,2004 Rate,Rank ,Labor Force
Hawaii,3.3,1,616000
North Dakota,3.4,2,354000
South Dakota,3.5,3,428000
Vermont,3.7,4,353000
Virginia,3.7,4,3815000
New Hampshire,3.8,6,723000
Missouri,3.8,6,985000
Wyoming,3.9,8,282000
Delaware,4.1,9,423000
Maryland,4.2,10,2883000
Nevada,4.3,11,1178000
Montana,4.4,12,483000
Maine,4.6,13,699000
Georgia,4.6,13,4390000
Idaho,4.7,15,703000
Minnesota,4.7,15,2952000
Iowa,4.8,17,1624000
Oklahoma,4.8,17,1710000
New Jersey,4.8,17,4388000
Florida,4.8,17,8396000
Connecticut,4.9,21,1797000
Wisconsin,4.9,21,3071000
Arizona,5,23,2774000
Massachusetts,5.1,24,3393000
Rhode Island,5.2,25,562000
Utah,5.2,25,1203000
Indiana,5.2,25,3170000
West Virginia,5.3,28,788000
Kentucky,5.3,28,1974000
Tennessee,5.4,30,2908000
Kansas,5.5,31,1464000
Colorado,5.5,31,2522000
North Carolina,5.5,31,4256000
Pennsylvania,5.5,31,6275000
Alabama,5.6,35,2149000
New Mexico,5.7,36,912000
Arkansas,5.7,36,1306000
Louisiana,5.7,36,2058000
Nebraska,5.7,36,3031000
New York,5.8,40,9355000
Ohio,6.1,41,5885000
Texas,6.1,41,11035000
Mississippi,6.2,43,1330000
Washington,6.2,43,3234000
Illinois,6.2,43,6396000
California,6.2,43,17552000
South Carolina,6.8,47,2046000
Michigan,7.1,48,5079000
Oregon,7.4,49,1856000
Alaska,7.5,50,333000
"Washington, D.C.",8.2,51,299000
