Year,GDP,State
2017,694870000000.0,Pennsylvania
2017,88960000000.0,New Mexico
2017,457610000000.0,Michigan
2017,52690000000.0,Rhode Island
2017,145490000000.0,Nevada
2017,45780000000.0,South Dakota
2017,753030000000.0,Illinois
2017,912690000000.0,Florida
2017,196970000000.0,Alabama
2017,114140000000.0,Nebraska
2017,78950000000.0,Hawaii
2017,325000000000.0,Indiana
2017,523809999999.99994,Georgia
2017,170890000000.0,Iowa
2017,329910000000.0,Colorado
2017,45970000000.0,Montana
2017,593640000000.0,Ohio
2017,366200000000.0,Maryland
2017,73970000000.0,New Hampshire
2017,154760000000.0,Utah
2017,54190000000.0,North Dakota
2017,495220000000.0,North Carolina
2017,291920000000.0,Wisconsin
2017,155510000000.0,Kansas
2017,537580000000.00006,New Jersey
2017,205520000000.0,Oregon
2017,2538200000000.0,California
2017,281250000000.0,Missouri
2017,29490000000.0,Vermont
2017,482810000000.0,Massachusetts
2017,71430000000.0,West Virginia
2017,1659450000000.0,Texas
2017,185920000000.0,Kentucky
2017,54280000000.0,Alaska
2017,56470000000.0,Maine
2017,303610000000.0,Arizona
2017,1419110000000.0,New York
2017,327480000000.0,Minnesota
2017,37520000000.0,Wyoming
2017,318960000000.0,Tennessee
2017,66940000000.0,Idaho
2017,101250000000.0,Mississippi
2017,233350000000.0,Louisiana
2017,60360000000.0,Delaware
2017,194020000000.0,Oklahoma
2017,482010000000.0,Washington
2017,113850000000.0,Arkansas
2017,247040000000.0,Connecticut
2017,202510000000.0,South Carolina
