Year,GDP,State
2021,710970000000.0,Pennsylvania
2021,93630000000.0,New Mexico
2021,481780000000.0,Michigan
2021,54610000000.0,Rhode Island
2021,505350000000.0,Virginia
2021,159570000000.0,Nevada
2021,49560000000.0,South Dakota
2021,780060000000.0,Illinois
2021,1029579999999.9999,Florida
2021,209980000000.0,Alabama
2021,122140000000.0,Nebraska
2021,74550000000.0,Hawaii
2021,346240000000.0,Indiana
2021,575290000000.0,Georgia
2021,179750000000.0,Iowa
2021,373760000000.0,Colorado
2021,48980000000.0,Montana
2021,629290000000.0,Ohio
2021,368570000000.0,Maryland
2021,82990000000.0,New Hampshire
2021,186910000000.0,Utah
2021,53800000000.0,North Dakota
2021,541929999999.99994,North Carolina
2021,306470000000.0,Wisconsin
2021,162290000000.0,Kansas
2021,566890000000.0,New Jersey
2021,227980000000.0,Oregon
2021,2874730000000.0,California
2021,295690000000.0,Missouri
2021,30550000000.0,Vermont
2021,533100000000.0,Massachusetts
2021,71340000000.0,West Virginia
2021,1815060000000.0,Texas
2021,197820000000.0,Kentucky
2021,50870000000.0,Alaska
2021,63590000000.0,Maine
2021,347660000000.0,Arizona
2021,1514780000000.0,New York
2021,346200000000.0,Minnesota
2021,36400000000.0,Wyoming
2021,352460000000.0,Tennessee
2021,80090000000.0,Idaho
2021,104350000000.0,Mississippi
2021,221150000000.0,Louisiana
2021,64400000000.00001,Delaware
2021,193230000000.0,Oklahoma
2021,575130000000.0,Washington
2021,123350000000.0,Arkansas
2021,246560000000.0,Connecticut
2021,221050000000.0,South Carolina
