,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,29.0,-2.03,-39.0,1879.7
1,Alaska,2.0,0.16,0.5,309.4
2,Arizona,49.0,-3.55,-88.3,2396.7
3,Arkansas,19.0,-1.62,-19.0,1154.0
4,California,45.0,-3.04,-443.8,14157.9
5,Colorado,40.0,-2.52,-56.9,2199.9
6,Connecticut,47.0,-3.14,-51.4,1587.6
7,Delaware,44.0,-2.72,-11.3,403.9
8,Florida,38.0,-2.44,-179.9,7195.3
9,Georgia,41.0,-2.58,-101.5,3827.2
10,Hawaii,33.0,-2.16,-13.0,588.6
11,Idaho,26.0,-1.97,-11.9,591.8
12,Illinois,36.0,-2.41,-136.5,5517.3
13,Indiana,15.0,-1.31,-36.7,2761.1
14,Iowa,18.0,-1.57,-23.1,1449.9
15,Kansas,46.0,-3.06,-41.5,1316.8
16,Kentucky,9.0,-1.1,-19.3,1733.1
17,Louisiana,23.0,-1.92,-36.9,1884.3
18,Maine,7.0,-0.93,-5.4,574.8
19,Maryland,12.0,-1.21,-30.4,2487.0
20,Massachusetts,4.0,-0.73,-23.1,3160.7
21,Michigan,35.0,-2.32,-90.0,3784.5
22,Minnesota,24.0,-1.94,-50.9,2578.3
23,Mississippi,21.0,-1.71,-18.9,1087.9
24,Missouri,32.0,-2.14,-58.1,2651.4
25,Montana,3.0,-0.31,-1.3,418.4
26,Nebraska,20.0,-1.63,-15.4,930.9
27,Nevada,50.0,-4.67,-54.3,1108.8
28,New Hampshire,10.0,-1.13,-7.0,614.8
29,New Jersey,27.0,-2.0,-77.5,3796.6
30,New Mexico,25.0,-1.95,-15.9,799.5
31,New York,8.0,-0.95,-81.2,8428.4
32,North Carolina,37.0,-2.44,-95.8,3832.3
33,North Dakota,1.0,1.5,5.4,366.6
34,Ohio,43.0,-2.62,-133.3,4945.0
35,Oklahoma,42.0,-2.59,-41.1,1544.0
36,Oregon,30.0,-2.05,-33.2,1582.4
37,Pennsylvania,11.0,-1.14,-63.9,5541.5
38,Rhode Island,14.0,-1.26,-5.8,452.7
39,South Carolina,28.0,-2.03,-37.0,1789.5
40,South Dakota,16.0,-1.44,-5.7,391.5
41,Tennessee,22.0,-1.88,-49.6,2587.4
42,Texas,13.0,-1.25,-130.0,10302.2
43,Utah,34.0,-2.27,-27.2,1168.8
44,Vermont,5.0,-0.74,-2.2,296.8
45,Virginia,17.0,-1.47,-53.4,3588.1
46,Washington,39.0,-2.47,-71.1,2801.8
47,West Virginia,6.0,-0.87,-6.2,704.5
48,Wisconsin,31.0,-2.13,-58.1,2665.4
49,Wyoming,48.0,-3.43,-9.8,275.9
50,United States,,-1.96,-2586.0,129073.0
