DATE,Median Income,State,Year
2017-01-01,54988,arkansas,2017
2017-01-01,47837,mississippi,2017
2017-01-01,86196,alaska,2017
2017-01-01,82877,colorado,2017
2017-01-01,78265,virginia,2017
2017-01-01,67076,ohio,2017
2017-01-01,69077,oregon,2017
2017-01-01,59497,idaho,2017
2017-01-01,72913,illinois,2017
2017-01-01,67571,united states,2017
2017-01-01,62481,missouri,2017
2017-01-01,62889,kansas,2017
2017-01-01,83591,new hampshire,2017
2017-01-01,53316,maine,2017
2017-01-01,62905,south dakota,2017
2017-01-01,67736,pennsylvania,2017
2017-01-01,68021,new york,2017
2017-01-01,77135,utah,2017
2017-01-01,70148,iowa,2017
2017-01-01,64953,indiana,2017
2017-01-01,78739,new jersey,2017
2017-01-01,81346,hawaii,2017
2017-01-01,57343,oklahoma,2017
2017-01-01,90734,maryland,2017
2017-01-01,77341,minnesota,2017
2017-01-01,50401,new mexico,2017
2017-01-01,71799,delaware,2017
2017-01-01,66500,north dakota,2017
2017-01-01,65855,nebraska,2017
2017-01-01,54762,north carolina,2017
2017-01-01,43565,louisiana,2017
2017-01-01,65803,wyoming,2017
2017-01-01,64089,georgia,2017
2017-01-01,57407,montana,2017
2017-01-01,58041,nevada,2017
2017-01-01,77410,california,2017
2017-01-01,84269,massachusetts,2017
2017-01-01,50865,alabama,2017
2017-01-01,65984,arizona,2017
2017-01-01,71540,washington,2017
2017-01-01,82125,connecticut,2017
2017-01-01,72285,rhode island,2017
2017-01-01,55306,tennessee,2017
2017-01-01,51900,west virginia,2017
2017-01-01,66417,texas,2017
2017-01-01,60278,south carolina,2017
2017-01-01,54901,kentucky,2017
2017-01-01,70385,vermont,2017
2017-01-01,70164,wisconsin,2017
2017-01-01,58674,florida,2017
2017-01-01,62342,michigan,2017
