Year,GDP,State
2014,669640000000.0,Pennsylvania
2014,88990000000.0,New Mexico
2014,434310000000.0,Michigan
2014,52290000000.0,Rhode Island
2014,447680000000.0,Virginia
2014,130900000000.0,Nevada
2014,44850000000.0,South Dakota
2014,741190000000.0,Illinois
2014,817230000000.0,Florida
2014,189890000000.0,Alabama
2014,107940000000.0,Nebraska
2014,73510000000.0,Hawaii
2014,316780000000.0,Indiana
2014,470010000000.0,Georgia
2014,166620000000.0,Iowa
2014,298660000000.0,Colorado
2014,43830000000.0,Montana
2014,574180000000.0,Ohio
2014,339600000000.0,Maryland
2014,70210000000.0,New Hampshire
2014,136990000000.00002,Utah
2014,57790000000.0,North Dakota
2014,462250000000.0,North Carolina
2014,283980000000.0,Wisconsin
2014,145340000000.0,Kansas
2014,522169999999.99994,New Jersey
2014,181220000000.0,Oregon
2014,2256050000000.0,California
2014,276080000000.0,Missouri
2014,28910000000.0,Vermont
2014,451570000000.0,Massachusetts
2014,70530000000.0,West Virginia
2014,1529620000000.0,Texas
2014,181470000000.0,Kentucky
2014,54190000000.0,Alaska
2014,54040000000.0,Maine
2014,276950000000.0,Arizona
2014,1353410000000.0,New York
2014,314090000000.0,Minnesota
2014,39560000000.0,Wyoming
2014,294130000000.0,Tennessee
2014,62450000000.0,Idaho
2014,100280000000.0,Mississippi
2014,235360000000.0,Louisiana
2014,64940000000.0,Delaware
2014,189360000000.0,Oklahoma
2014,424470000000.0,Washington
2014,111730000000.0,Arkansas
2014,235780000000.0,Connecticut
2014,185990000000.0,South Carolina
