,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,36.0,0.57,10.7,1901.9
1,Alaska,13.0,1.29,3.7,291.2
2,Arizona,4.0,2.87,65.9,2360.8
3,Arkansas,17.0,1.17,13.3,1151.7
4,California,31.0,0.69,100.8,14649.7
5,Colorado,34.0,0.58,12.5,2151.0
6,Connecticut,47.0,-0.08,-1.3,1636.9
7,Delaware,2.0,3.21,13.0,418.5
8,Florida,5.0,2.51,182.4,7455.6
9,Georgia,25.0,0.83,32.1,3888.9
10,Hawaii,10.0,1.83,10.4,578.7
11,Idaho,9.0,1.87,10.5,572.4
12,Illinois,48.0,-0.34,-19.6,5724.8
13,Indiana,30.0,0.7,20.0,2895.2
14,Iowa,24.0,0.87,12.4,1433.0
15,Kansas,45.0,0.03,0.4,1308.8
16,Kentucky,32.0,0.63,11.1,1768.8
17,Louisiana,22.0,1.07,20.3,1922.0
18,Maine,23.0,1.04,6.1,594.0
19,Maryland,15.0,1.25,30.8,2487.7
20,Massachusetts,49.0,-0.4,-12.7,3163.1
21,Michigan,50.0,-0.71,-30.9,4340.8
22,Minnesota,46.0,-0.02,-0.6,2610.7
23,Mississippi,28.0,0.81,9.0,1122.5
24,Missouri,43.0,0.12,3.1,2677.1
25,Montana,6.0,2.28,8.9,398.9
26,Nebraska,39.0,0.43,3.9,906.5
27,Nevada,1.0,4.67,50.1,1121.8
28,New Hampshire,12.0,1.72,10.4,615.3
29,New Jersey,35.0,0.57,22.3,3946.3
30,New Mexico,11.0,1.79,13.8,783.5
31,New York,42.0,0.2,16.3,8353.3
32,North Carolina,41.0,0.2,7.5,3780.8
33,North Dakota,19.0,1.1,3.6,331.0
34,Ohio,44.0,0.08,4.2,5342.7
35,Oklahoma,37.0,0.52,7.7,1476.0
36,Oregon,26.0,0.83,13.0,1576.6
37,Pennsylvania,40.0,0.23,12.7,5583.3
38,Rhode Island,21.0,1.07,5.1,481.8
39,South Carolina,38.0,0.52,9.4,1806.4
40,South Dakota,27.0,0.81,3.0,371.9
41,Tennessee,16.0,1.24,32.9,2681.7
42,Texas,29.0,0.77,72.5,9464.8
43,Utah,7.0,2.25,23.9,1086.2
44,Vermont,20.0,1.07,3.2,301.7
45,Virginia,8.0,2.12,73.5,3534.1
46,Washington,18.0,1.14,30.3,2699.5
47,West Virginia,14.0,1.27,8.7,695.6
48,Wisconsin,33.0,0.6,16.3,2739.8
49,Wyoming,3.0,2.91,7.0,247.2
50,United States,,0.69,887.0,130361.0
