DATE,Median Income,State,Year
2012-01-01,46128,arkansas,2012
2012-01-01,43318,mississippi,2012
2012-01-01,75246,alaska,2012
2012-01-01,67688,colorado,2012
2012-01-01,76409,virginia,2012
2012-01-01,52461,ohio,2012
2012-01-01,61210,oregon,2012
2012-01-01,47922,idaho,2012
2012-01-01,61166,illinois,2012
2012-01-01,60313,united states,2012
2012-01-01,58832,missouri,2012
2012-01-01,59115,kansas,2012
2012-01-01,80177,new hampshire,2012
2012-01-01,49158,maine,2012
2012-01-01,58420,south dakota,2012
2012-01-01,61362,pennsylvania,2012
2012-01-01,56368,new york,2012
2012-01-01,68972,utah,2012
2012-01-01,63180,iowa,2012
2012-01-01,54569,indiana,2012
2012-01-01,78845,new jersey,2012
2012-01-01,66515,hawaii,2012
2012-01-01,57228,oklahoma,2012
2012-01-01,84926,maryland,2012
2012-01-01,73055,minnesota,2012
2012-01-01,51337,new mexico,2012
2012-01-01,57896,delaware,2012
2012-01-01,65928,north dakota,2012
2012-01-01,61707,nebraska,2012
2012-01-01,49125,north carolina,2012
2012-01-01,39085,louisiana,2012
2012-01-01,67992,wyoming,2012
2012-01-01,56890,georgia,2012
2012-01-01,45088,montana,2012
2012-01-01,47333,nevada,2012
2012-01-01,67410,california,2012
2012-01-01,75256,massachusetts,2012
2012-01-01,43464,alabama,2012
2012-01-01,55616,arizona,2012
2012-01-01,62187,washington,2012
2012-01-01,75954,connecticut,2012
2012-01-01,66281,rhode island,2012
2012-01-01,42995,tennessee,2012
2012-01-01,51489,west virginia,2012
2012-01-01,61388,texas,2012
2012-01-01,52492,south carolina,2012
2012-01-01,48573,kentucky,2012
2012-01-01,65710,vermont,2012
2012-01-01,62751,wisconsin,2012
2012-01-01,54466,florida,2012
2012-01-01,59129,michigan,2012
