Year,GDP,State
2011,637110000000.0,Pennsylvania
2011,87590000000.0,New Mexico
2011,414830000000.0,Michigan
2011,51280000000.0,Rhode Island
2011,444290000000.0,Virginia
2011,130699999999.99998,Nevada
2011,43050000000.0,South Dakota
2011,711280000000.0,Illinois
2011,772020000000.0,Florida
2011,187610000000.0,Alabama
2011,102590000000.0,Nebraska
2011,70650000000.0,Hawaii
2011,299060000000.0,Indiana
2011,441630000000.0,Georgia
2011,152440000000.0,Iowa
2011,271700000000.0,Colorado
2011,41880000000.0,Montana
2011,541179999999.99994,Ohio
2011,332440000000.0,Maryland
2011,67560000000.0,New Hampshire
2011,127990000000.0,Utah
2011,42340000000.0,North Dakota
2011,443290000000.0,North Carolina
2011,272810000000.0,Wisconsin
2011,139580000000.0,Kansas
2011,507600000000.0,New Jersey
2011,173830000000.0,Oregon
2011,2063830000000.0,California
2011,268529999999.99997,Missouri
2011,29010000000.0,Vermont
2011,434490000000.0,Massachusetts
2011,70360000000.0,West Virginia
2011,1353600000000.0,Texas
2011,175750000000.0,Kentucky
2011,55280000000.0,Alaska
2011,53790000000.0,Maine
2011,266100000000.00003,Arizona
2011,1279530000000.0,New York
2011,293780000000.0,Minnesota
2011,39770000000.0,Wyoming
2011,276900000000.0,Tennessee
2011,58230000000.0,Idaho
2011,98520000000.0,Mississippi
2011,234980000000.0,Louisiana
2011,62920000000.0,Delaware
2011,166330000000.0,Oklahoma
2011,387750000000.0,Washington
2011,107930000000.0,Arkansas
2011,238540000000.0,Connecticut
2011,176080000000.0,South Carolina
