,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,33.0,0.85,16.2,1917.8
1,Alaska,44.0,0.56,1.8,324.7
2,Arizona,12.0,2.1,51.8,2518.0
3,Arkansas,49.0,-0.03,-0.4,1177.3
4,California,7.0,2.56,373.9,14999.2
5,Colorado,4.0,2.95,67.2,2348.4
6,Connecticut,45.0,0.42,6.8,1639.2
7,Delaware,17.0,1.72,7.1,419.7
8,Florida,10.0,2.28,169.0,7577.0
9,Georgia,15.0,1.83,71.6,3992.9
10,Hawaii,6.0,2.65,16.0,620.1
11,Idaho,5.0,2.95,17.9,625.6
12,Illinois,37.0,0.8,45.7,5724.0
13,Indiana,25.0,1.12,32.2,2905.5
14,Iowa,32.0,0.86,12.8,1501.7
15,Kansas,43.0,0.58,7.8,1359.7
16,Kentucky,35.0,0.84,15.1,1809.6
17,Louisiana,22.0,1.33,25.6,1948.9
18,Maine,46.0,0.21,1.2,579.9
19,Maryland,31.0,0.89,22.7,2578.8
20,Massachusetts,21.0,1.37,44.5,3298.4
21,Michigan,14.0,1.89,75.3,4056.4
22,Minnesota,13.0,1.94,51.7,2720.5
23,Mississippi,42.0,0.6,6.6,1110.2
24,Missouri,39.0,0.69,18.6,2699.6
25,Montana,8.0,2.52,10.8,438.6
26,Nebraska,34.0,0.85,8.1,965.7
27,Nevada,9.0,2.43,27.5,1158.4
28,New Hampshire,40.0,0.69,4.3,627.7
29,New Jersey,28.0,0.98,37.6,3883.9
30,New Mexico,38.0,0.79,6.3,805.7
31,New York,24.0,1.16,101.0,8828.3
32,North Carolina,18.0,1.7,67.3,4024.4
33,North Dakota,1.0,4.22,17.6,434.5
34,Ohio,36.0,0.82,42.3,5172.0
35,Oklahoma,19.0,1.47,23.5,1626.3
36,Oregon,16.0,1.77,28.7,1652.6
37,Pennsylvania,48.0,0.02,0.9,5702.7
38,Rhode Island,30.0,0.93,4.3,465.3
39,South Carolina,20.0,1.43,26.5,1878.2
40,South Dakota,27.0,0.99,4.0,408.7
41,Tennessee,23.0,1.27,34.2,2736.8
42,Texas,3.0,3.17,342.3,11146.6
43,Utah,2.0,3.67,45.1,1274.4
44,Vermont,41.0,0.66,2.0,307.2
45,Virginia,26.0,1.0,37.1,3741.2
46,Washington,11.0,2.17,62.3,2938.6
47,West Virginia,50.0,-0.63,-4.6,722.3
48,Wisconsin,29.0,0.97,26.6,2759.2
49,Wyoming,47.0,0.1,0.3,287.0
50,United States,,1.46,1947.0,134901.0
