State,2000 Rate,Rank ,Labor Force
Virginia,2.2,1,3610000
Connecticut,2.3,2,1746000
South Dakota,2.3,2,401000
Massachusetts,2.6,4,3237000
Iowa,2.6,4,1563000
Colorado,2.7,6,2276000
New Hampshire,2.8,7,686000
Vermont,2.9,8,332000
Missouri,3,9,924000
North Dakota,3,9,339000
Oklahoma,3,9,1648000
Indiana,3.2,12,3084000
Utah,3.2,12,1104000
Minnesota,3.3,14,2739000
Maine,3.5,15,689000
Wisconsin,3.5,15,2935000
Nebraska,3.5,15,2930000
Michigan,3.6,18,5201000
Florida,3.6,18,7490000
North Carolina,3.6,18,3958000
Kansas,3.7,21,1411000
Georgia,3.7,21,4173000
New Jersey,3.8,23,4188000
Maryland,3.9,24,2805000
South Carolina,3.9,24,1985000
Tennessee,3.9,24,2798000
Arizona,3.9,24,2347000
Wyoming,3.9,24,267000
Delaware,4,29,409000
Rhode Island,4.1,30,505000
Ohio,4.1,30,5783000
Kentucky,4.1,30,1982000
Nevada,4.1,30,986000
Pennsylvania,4.2,34,5972000
Texas,4.2,34,10325000
Hawaii,4.3,36,595000
Illinois,4.4,37,6419000
Arkansas,4.4,37,1238000
New York,4.6,39,8941000
Alabama,4.6,39,2154000
Idaho,4.9,41,658000
Montana,4.9,41,479000
New Mexico,4.9,41,833000
California,4.9,41,17091000
Oregon,4.9,41,1803000
Washington,5.2,46,3045000
West Virginia,5.5,47,825000
Louisiana,5.5,47,2030000
Mississippi,5.7,49,1326000
"Washington, D.C.",5.8,50,279000
Alaska,6.6,51,322000
