,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,44.0,-0.79,-15.3,1929.8
1,Alaska,15.0,1.32,3.6,276.6
2,Arizona,6.0,2.33,52.2,2292.0
3,Arkansas,38.0,-0.11,-1.3,1156.3
4,California,3.0,2.81,405.2,14826.2
5,Colorado,4.0,2.52,55.0,2235.9
6,Connecticut,41.0,-0.45,-7.5,1674.6
7,Delaware,21.0,1.16,4.8,420.3
8,Florida,5.0,2.41,169.6,7216.0
9,Georgia,20.0,1.19,47.1,3999.3
10,Hawaii,10.0,2.26,12.4,561.7
11,Idaho,2.0,3.14,17.1,561.5
12,Illinois,36.0,0.06,3.8,5976.0
13,Indiana,49.0,-1.74,-52.1,2940.7
14,Iowa,42.0,-0.71,-10.4,1455.1
15,Kansas,26.0,0.95,12.7,1347.6
16,Kentucky,45.0,-0.9,-16.2,1790.2
17,Louisiana,33.0,0.34,6.6,1925.4
18,Maine,22.0,1.11,6.5,592.6
19,Maryland,16.0,1.23,29.8,2454.3
20,Massachusetts,11.0,2.24,73.2,3345.4
21,Michigan,47.0,-1.37,-63.4,4560.4
22,Minnesota,19.0,1.2,31.6,2663.1
23,Mississippi,50.0,-1.98,-22.9,1132.5
24,Missouri,40.0,-0.26,-7.0,2734.5
25,Montana,39.0,-0.13,-0.5,384.9
26,Nebraska,30.0,0.64,5.8,909.2
27,Nevada,1.0,4.4,44.3,1051.6
28,New Hampshire,8.0,2.28,13.9,623.6
29,New Jersey,31.0,0.53,20.9,3963.9
30,New Mexico,7.0,2.32,17.1,755.0
31,New York,23.0,1.05,88.9,8588.0
32,North Carolina,29.0,0.67,25.9,3910.5
33,North Dakota,25.0,0.99,3.2,326.5
34,Ohio,43.0,-0.74,-41.4,5532.0
35,Oklahoma,9.0,2.27,33.7,1519.5
36,Oregon,27.0,0.88,14.1,1607.7
37,Pennsylvania,28.0,0.72,40.6,5678.5
38,Rhode Island,17.0,1.21,5.7,475.9
39,South Carolina,48.0,-1.67,-31.0,1825.3
40,South Dakota,37.0,-0.08,-0.3,371.4
41,Tennessee,46.0,-1.11,-30.4,2704.5
42,Texas,12.0,2.06,193.1,9579.7
43,Utah,14.0,1.61,17.1,1080.3
44,Vermont,24.0,1.03,3.1,303.6
45,Virginia,18.0,1.2,41.8,3511.2
46,Washington,32.0,0.37,10.1,2731.6
47,West Virginia,34.0,0.24,1.7,698.0
48,Wisconsin,35.0,0.13,3.7,2787.3
49,Wyoming,13.0,2.02,4.7,237.1
50,United States,,0.9,1177.0,131929.0
