Year,GDP,State
2005,594860000000.0,Pennsylvania
2005,84030000000.0,New Mexico
2005,457140000000.0,Michigan
2005,51370000000.0,Rhode Island
2005,412080000000.0,Virginia
2005,137510000000.0,Nevada
2005,35840000000.0,South Dakota
2005,687710000000.0,Illinois
2005,815760000000.0,Florida
2005,184370000000.0,Alabama
2005,89310000000.0,Nebraska
2005,67120000000.00001,Hawaii
2005,290330000000.0,Indiana
2005,447150000000.0,Georgia
2005,144580000000.0,Iowa
2005,251560000000.0,Colorado
2005,37370000000.0,Montana
2005,545970000000.0,Ohio
2005,301660000000.0,Maryland
2005,65030000000.0,New Hampshire
2005,110050000000.0,Utah
2005,29350000000.0,North Dakota
2005,409000000000.0,North Carolina
2005,263700000000.0,Wisconsin
2005,123950000000.0,Kansas
2005,507890000000.0,New Jersey
2005,158160000000.0,Oregon
2005,1926840000000.0,California
2005,265740000000.0,Missouri
2005,27000000000.0,Vermont
2005,386800000000.0,Massachusetts
2005,65680000000.00001,West Virginia
2005,1141370000000.0,Texas
2005,171180000000.0,Kentucky
2005,45660000000.0,Alaska
2005,54930000000.0,Maine
2005,262329999999.99997,Arizona
2005,1168890000000.0,New York
2005,284640000000.0,Minnesota
2005,33479999999.999996,Wyoming
2005,268390000000.0,Tennessee
2005,56040000000.0,Idaho
2005,96820000000.0,Mississippi
2005,247770000000.0,Louisiana
2005,59340000000.0,Delaware
2005,143470000000.0,Oklahoma
2005,340430000000.0,Washington
2005,105980000000.0,Arkansas
2005,238550000000.0,Connecticut
2005,169490000000.0,South Carolina
