State,2005 Rate,Rank ,Labor Force
Connecticut,4.9,,
Maine,4.8,,
Massachusetts,4.8,,
New Hampshire,3.6,,
Rhode Island,5,,
Vermont,3.5,,
New Jersey,4.4,,
New York,5,,
Pennsylvania,5,,
Illinois,5.7,,
Indiana,5.4,,
Michigan,6.7,,
Ohio,5.9,,
Wisconsin,4.7,,
Iowa,4.6,,
Kansas,5.1,,
Minnesota,4,,
Nebraska,5.4,,
Missouri,3.8,,
North Dakota,3.4,,
South Dakota,3.9,,
Delaware,4.2,,
"Washington, D.C.",6.5,,
Florida,3.8,,
Georgia,5.3,,
Maryland,4.1,,
North Carolina,5.2,,
South Carolina,6.8,,
Virginia,3.5,,
West Virginia,5,,
Alabama,4,,
Kentucky,6.1,,
Mississippi,7.9,,
Tennessee,5.6,,
Arkansas,4.9,,
Louisiana,7.1,,
Oklahoma,4.4,,
Texas,5.3,,
Arizona,4.7,,
Colorado,5,,
Idaho,3.8,,
Montana,4,,
Nevada,4.1,,
New Mexico,5.3,,
Utah,4.3,,
Wyoming,3.6,,
Alaska,6.8,,
California,5.4,,
Hawaii,2.8,,
Oregon,6.1,,
Washington,5.5,,
