Year,GDP,State
2010,627730000000.0,Pennsylvania
2010,87610000000.0,New Mexico
2010,404220000000.0,Michigan
2010,51330000000.0,Rhode Island
2010,441240000000.0,Virginia
2010,129830000000.00002,Nevada
2010,40370000000.0,South Dakota
2010,698180000000.0,Illinois
2010,775040000000.0,Florida
2010,184700000000.0,Alabama
2010,97470000000.0,Nebraska
2010,69630000000.0,Hawaii
2010,297520000000.0,Indiana
2010,433730000000.0,Georgia
2010,150150000000.0,Iowa
2010,267860000000.0,Colorado
2010,40790000000.0,Montana
2010,523980000000.0,Ohio
2010,325370000000.0,Maryland
2010,67129999999.99999,New Hampshire
2010,123900000000.0,Utah
2010,37920000000.0,North Dakota
2010,437840000000.0,North Carolina
2010,266829999999.99997,Wisconsin
2010,135720000000.0,Kansas
2010,513919999999.99994,New Jersey
2010,169230000000.0,Oregon
2010,2036020000000.0,California
2010,270730000000.00003,Missouri
2010,28400000000.0,Vermont
2010,425790000000.0,Massachusetts
2010,69150000000.0,West Virginia
2010,1309960000000.0,Texas
2010,173780000000.0,Kentucky
2010,54600000000.0,Alaska
2010,54310000000.0,Maine
2010,260310000000.0,Arizona
2010,1277470000000.0,New York
2010,287140000000.0,Minnesota
2010,40060000000.0,Wyoming
2010,268450000000.0,Tennessee
2010,58280000000.0,Idaho
2010,98600000000.0,Mississippi
2010,246840000000.0,Louisiana
2010,60580000000.0,Delaware
2010,160560000000.0,Oklahoma
2010,380990000000.0,Washington
2010,105660000000.0,Arkansas
2010,244350000000.0,Connecticut
2010,172130000000.0,South Carolina
