,State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
0,Alabama,12.0,1.8,36.3,2056.4
1,Alaska,41.0,0.54,1.7,316.4
2,Arizona,3.0,2.93,83.2,2922.7
3,Arkansas,14.0,1.63,20.5,1275.0
4,California,15.0,1.5,255.1,17250.8
5,Colorado,6.0,2.38,63.9,2743.6
6,Connecticut,50.0,-0.08,-1.4,1673.5
7,Delaware,24.0,1.2,5.4,456.3
8,Florida,7.0,2.35,205.1,8938.5
9,Georgia,8.0,2.3,103.0,4586.4
10,Hawaii,48.0,0.24,1.6,659.5
11,Idaho,2.0,3.03,21.8,741.5
12,Illinois,45.0,0.33,19.8,6005.8
13,Indiana,20.0,1.37,42.3,3132.5
14,Iowa,49.0,0.24,3.7,1561.8
15,Kansas,42.0,0.46,6.5,1410.0
16,Kentucky,35.0,0.69,13.1,1915.3
17,Louisiana,28.0,1.02,20.2,1992.3
18,Maine,25.0,1.18,7.2,616.4
19,Maryland,33.0,0.85,23.0,2727.8
20,Massachusetts,27.0,1.15,41.3,3619.1
21,Michigan,39.0,0.59,25.8,4382.8
22,Minnesota,43.0,0.46,13.4,2925.8
23,Mississippi,34.0,0.75,8.6,1154.6
24,Missouri,37.0,0.67,19.1,2870.3
25,Montana,26.0,1.18,5.5,470.9
26,Nebraska,46.0,0.33,3.3,1010.4
27,Nevada,1.0,3.15,42.7,1400.2
28,New Hampshire,29.0,1.02,6.8,676.6
29,New Jersey,32.0,0.92,37.3,4113.7
30,New Mexico,13.0,1.68,14.0,846.9
31,New York,21.0,1.31,124.4,9646.0
32,North Carolina,10.0,2.17,96.2,4531.6
33,North Dakota,19.0,1.38,5.9,432.2
34,Ohio,38.0,0.62,33.8,5503.2
35,Oklahoma,16.0,1.47,24.5,1692.8
36,Oregon,17.0,1.46,27.7,1923.0
37,Pennsylvania,31.0,0.99,58.5,5977.2
38,Rhode Island,30.0,1.0,4.9,494.1
39,South Carolina,18.0,1.45,30.9,2154.8
40,South Dakota,36.0,0.68,2.9,429.8
41,Tennessee,11.0,2.12,64.1,3086.4
42,Texas,5.0,2.59,319.7,12667.4
43,Utah,4.0,2.83,42.3,1535.2
44,Vermont,44.0,0.38,1.2,316.7
45,Virginia,23.0,1.22,48.2,4004.4
46,Washington,22.0,1.22,40.9,3381.0
47,West Virginia,40.0,0.54,3.8,705.9
48,Wisconsin,47.0,0.25,7.4,2936.2
49,Wyoming,9.0,2.24,6.2,282.6
50,United States,,1.39,2034.0,148683.0
