state,household_participants,individual_participants,cost,cost_per_person,cost_per_household
Connecticut,81857,157030.9167,135682522,72.0041,138.1296
Maine,53150.5833,104382.5833,86333390,68.9238,135.3597
Massachusetts,104837.8333,219223.4167,172989318,65.7584,137.5055
New Hampshire,17950.6667,35554.25,28051307,65.7477,130.2241
New York,683968.5833,1353542.25,1365352668,84.0605,166.3518
Rhode Island,32632,71272.1667,59063899,69.0591,150.8333
Vermont,19090.3333,38873.8333,31103256,66.6756,135.7723
Delaware,13602.25,31885.9167,31926772,83.4401,195.5974
District of Columbia,33343.6667,73493.9167,70340763,79.758,175.7974
Maryland,97025.6667,208425.8333,190820637,76.2944,163.8919
New Jersey,144067.25,317578.5833,292111168,76.6506,168.9669
Pennsylvania,342814,748074.25,639175011,71.2023,155.3746
Virginia,149417.3333,331688.25,263295483,66.1503,146.8457
West Virginia,94793.75,221360.5833,178432049,67.1725,156.8599
Alabama,161372.4167,411292.0833,364735790,73.9004,188.351
Florida,425954.9167,887255.8333,770726070,72.3886,150.784
Georgia,235633.4167,573537.25,515153023,74.8503,182.1873
Kentucky,173101.5,412680.0833,350489629,70.7751,168.7303
Mississippi,115993.5833,297805.4167,254370944,71.1793,182.7479
North Carolina,213419.8333,493672.4167,424834876,71.7134,165.8839
South Carolina,130054.5,315717.5833,269270452,71.0737,172.5369
Tennessee,226224.0833,521510.25,454423658,72.6134,167.3944
Illinois,363570.25,825295.4167,810104429,81.7994,185.6827
Indiana,146562.5833,346681.4167,317040579,76.2084,180.2646
Michigan,285277.25,641268.5,504149597,65.5146,147.2689
Minnesota,93086.3333,197726.75,172484759,72.6949,154.4129
Ohio,292222.3333,640504.75,572859721,74.5323,163.363
Wisconsin,86588.3333,215786,152453480,58.8753,146.7225
Arkansas,102633,256978.4167,223351249,72.4287,181.3511
Louisiana,198247.5833,518383.9167,482656653,77.59,202.8846
New Mexico,62483.9167,163244.5833,136264416,69.5605,181.7327
Oklahoma,113373.9167,271001.1667,236102011,72.6018,173.5423
Texas,500128.5,1360642,1269894097,77.7754,211.5946
Colorado,69408.25,153951.8333,130771498,70.7859,157.0076
Iowa,54436.6667,126493.5833,107294570,70.6851,164.2498
Kansas,56499.5833,124285.1667,91979416,61.6723,135.6639
Missouri,195479.5833,454426.5833,394611312,72.3643,168.2236
Montana,26481,61957.25,53846673,72.4245,169.4507
Nebraska,34729.25,80651.9167,62711292,64.7962,150.4766
North Dakota,15921.25,37754.75,27125809,59.8728,141.9791
South Dakota,17159.6667,44594.0833,39348630,73.5311,191.0907
Utah,32647,79716.25,66826668,69.8589,170.5789
Wyoming,9129.25,22538.75,19258510,71.2052,175.7949
Alaska,13184.3333,37897.4167,46477327,102.1999,293.7661
Arizona,107797.5833,291368.75,280402760,80.197,216.7664
California,624806.4167,1673364.667,1583142951,78.8403,211.1511
Hawaii,50983.25,108312.5833,149759152,115.2214,244.7849
Idaho,24033.9167,59666.6667,47224586,65.9561,163.7429
Nevada,32102.25,69825,65330055,77.9688,169.5885
Oregon,137199,283704.75,239553778,70.3648,145.5026
Washington,141386.6667,308588.5833,260877515,70.4491,153.7613
